Company Name: Goldie Group,,,,,,
Company Code: 415,,,,,,
Reporting Period: 2024-02-01 to 2024-03-01,,,,,,
,,,,,,
Item\Product,GreenT,iRT,SMART Grade,NFC_Auto_ADB,RADI,
Total Usage,25387,21940,3824,0,4283,
Unique ESN,23562,19910,3780,0,3768,
Duplicated ESN,1825,2030,44,0,515,
NO ESN,0,0,0,0,0,
,,,,,,
FMI,13827,12873,0,0,0,
Unlocked,13827,12814,0,0,0,
Prolog FMI,0,0,0,0,0,
Prolog Carrier Lock,0,0,0,0,0,
Forensic Carrier Lock,0,0,0,0,0,
Prolog Financial Encumberance,0,0,0,0,0,
Locked,0,5,0,0,0,
Unknown,0,54,0,0,0,
,,,,,,
Battery Health,12987,11285,0,0,0,
Print Label,9578,8180,0,0,0,
,,,,,,
Media Bundle,0,0,0,0,0,
FMM,0,0,0,0,0,
FuncTest,0,17848,0,0,0,
CustomAppWP,0,9052,0,0,0,
