Company Name: Verizon,,,,,,,,,,,,,,,,,,,,,
Company Code: 35,,,,,,,,,,,,,,,,,,,,,
Reporting Period: 2024-02-01 to 2024-03-01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Item\Product,GreenT,iRT,iTube,SMART Grade,SG-M16,SG-M21,SG-M15,SG-M14,SG-M24,SG-M12,SG-M23,SG-M9,SG-M17,SG-M22,SG-M13,SG-M10,SG-M8,RATA,UnLock,RADI,
Total Usage,67487,0,0,338756,34603,30376,37993,38277,23397,33932,21255,4205,31829,21745,19291,22513,19340,0,0,0,
Unique ESN,61014,0,0,336780,34590,30358,37962,38246,23380,33905,21241,4190,31802,21741,19285,22504,19332,0,0,0,
Duplicated ESN,6473,0,0,1976,13,18,31,31,17,27,14,15,27,4,6,9,8,0,0,0,
NO ESN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
SG-Total,0,0,0,334996,33802,30121,37733,37733,23234,33628,21134,4175,31610,21555,19147,22202,18922,0,0,0,
SG-Uniques,0,0,0,333071,33789,30103,37702,37702,23217,33601,21120,4163,31583,21551,19141,22194,18914,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
FMI,66100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unlocked,65095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prolog FMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prolog Carrier Lock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Forensic Carrier Lock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prolog Financial Encumberance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Locked,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unknown,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Battery Health,59778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Print Label,53775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Media Bundle,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Apple,59855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Non Apple,1224,0,0,336780,34590,30358,37962,38246,23380,33905,21241,4190,31802,21741,19285,22504,19332,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
IPProxy,58616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
