Company Name: Verizon,,,,,,,,,,,,,,,,,,,,
Company Code: 35,,,,,,,,,,,,,,,,,,,,
Reporting Period: 2024-03-01 to 2024-04-01,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Item\Product,GreenT,iRT,iTube,SMART Grade,SG-M14,SG-M21,SG-M17,SG-M16,SG-M15,SG-M12,SG-M22,SG-M23,SG-M24,SG-M10,SG-M13,SG-M8,RATA,UnLock,RADI,
Total Usage,63501,0,0,298346,35903,38253,31283,32071,32928,31691,12347,11658,15539,20395,18025,18253,0,0,0,
Unique ESN,58592,0,0,296387,35855,38220,31258,32039,32895,31661,12346,11654,15459,20385,18017,18241,0,0,0,
Duplicated ESN,4909,0,0,1959,48,33,25,32,33,30,1,4,80,10,8,12,0,0,0,
NO ESN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
SG-Total,0,0,0,296118,35614,37994,31093,31782,32712,31414,12227,11596,15392,20274,17898,18122,0,0,0,
SG-Uniques,0,0,0,294228,35568,37961,31069,31750,32679,31384,12226,11592,15343,20264,17890,18110,0,0,0,
,,,,,,,,,,,,,,,,,,,,
FMI,62229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unlocked,61360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prolog FMI,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prolog Carrier Lock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Forensic Carrier Lock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prolog Financial Encumberance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Locked,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unknown,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
Battery Health,57372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Print Label,52041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
Media Bundle,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
Apple,57510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Non Apple,1130,0,0,296387,35855,38220,31258,32039,32895,31661,12346,11654,15459,20385,18017,18241,0,0,0,
,,,,,,,,,,,,,,,,,,,,
IPProxy,56362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
