Company Name: itochu_asia,,,,,,,,,,,,,,,,,,,
Company Code: 115,,,,,,,,,,,,,,,,,,,
Reporting Period: 2024-02-01 to 2024-03-01,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item\Product,GreenT,iRT,SMART Grade,site_id_179_(UN),Smart Receive,site_id_179Smart Receive,site_id_310_(gT),site_id_796_(gT),site_id_795_(gT),site_id_179_(gT),site_id_766_(gT),site_id_838_(gT),site_id_740_(gT),site_id_179_(iT),NFC_Auto_ADB,site_id_179_(nfc),RADI,site_id_179_(UN),
Total Usage,170758,3591,45,45,2324,1805,36111,7625,2567,123083,1328,24,20,3591,30,30,9,9,
Unique ESN,162285,3497,34,34,2288,1774,35154,4108,2318,119651,1325,22,20,3497,29,29,2,2,
Duplicated ESN,8473,94,11,11,36,31,957,3517,249,3432,3,2,0,94,1,1,7,7,
NO ESN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,
FMI,79427,0,0,0,0,0,36110,5259,2540,35362,112,24,20,0,0,0,0,0,
Unlocked,78676,0,0,0,0,0,35885,5140,2478,35018,112,23,20,0,0,0,0,0,
Prolog FMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prolog Carrier Lock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prolog Financial Encumberance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Locked,488,0,0,0,0,0,196,70,46,175,0,1,0,0,0,0,0,0,
Unknown,263,0,0,0,0,0,29,49,16,169,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,
Battery Health,161718,0,0,0,0,0,35154,4108,2318,119115,1294,22,20,0,0,0,0,0,
Print Label,146009,0,0,0,0,0,25331,3116,2258,114317,1239,19,20,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,
Media Bundle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FuncTest,70758,0,0,0,0,1670,35445,2895,0,32308,110,0,0,0,0,0,0,0,
CarrierUnlock,17020,0,0,0,0,0,0,0,0,17020,0,0,0,0,0,0,0,0,
