Company Name: itochu_asia,,,,,,,,,,,,,,,,,
Company Code: 115,,,,,,,,,,,,,,,,,
Reporting Period: 2024-03-01 to 2024-04-01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Item\Product,GreenT,iRT,SMART Grade,site_id_179_(UN),Smart Receive,site_id_179Smart Receive,site_id_310_(gT),site_id_179_(gT),site_id_796_(gT),site_id_795_(gT),site_id_838_(gT),site_id_512_(gT),site_id_179_(iT),site_id_512_(iT),NFC_Auto_ADB,RADI,
Total Usage,136659,5885,60,60,1355,1263,35362,93621,6609,813,239,15,5844,41,0,0,
Unique ESN,129847,5673,14,14,1331,1246,34522,90938,3680,702,186,15,5633,40,0,0,
Duplicated ESN,6812,212,46,46,24,17,840,2683,2929,111,53,0,211,1,0,0,
NO ESN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
FMI,53476,0,0,0,0,0,35361,12540,4562,774,239,0,0,0,0,0,
Unlocked,52292,0,0,0,0,0,35209,11752,4470,698,163,0,0,0,0,0,
Prolog FMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prolog Carrier Lock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Forensic Carrier Lock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prolog Financial Encumberance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Locked,915,0,0,0,0,0,134,597,78,70,36,0,0,0,0,0,
Unknown,269,0,0,0,0,0,18,191,14,6,40,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
Battery Health,129429,0,0,0,0,0,34522,90520,3680,702,186,15,0,0,0,0,
Print Label,111968,0,0,0,0,0,25912,82691,2725,680,109,15,0,0,0,0,
,,,,,,,,,,,,,,,,,
Media Bundle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FuncTest,57368,0,0,0,7,930,34365,19976,2679,332,0,16,0,0,0,0,
CarrierUnlock,11705,0,0,0,0,0,0,11705,0,0,0,0,0,0,0,0,
