Company \ Product,GreenT,iRT,Athena,MobileQ,MobileQ_asia,MobileQ_iOS,SMI WPI Generic,FMI,Media Bundle,Battery, FuncTest
AgioTech,625,0,0,0,0,0,0,0,0,0,0,
Aihuishou,0,0,0,0,0,0,0,0,0,0,0,
AKD International,0,0,0,0,0,0,0,0,0,0,0,
Ara Global,0,0,0,0,0,0,0,0,0,0,0,
Asset Technology Solution Inc.,0,0,0,0,0,0,0,0,0,0,0,
assurant,10443,0,0,0,0,0,0,9941,0,9647,0,
Assurant Australia,906,0,0,0,0,0,0,387,0,385,928,
Assurant Brazil,0,0,0,0,0,0,0,0,0,0,0,
Assurant Europe,0,0,0,0,0,0,0,0,0,0,0,
Assurant Japan,0,0,0,0,0,0,0,0,0,0,0,
Assurant Korea Inc.,9886,0,0,0,0,0,0,0,0,9886,0,
Assurant-LWS-AND,970,0,0,0,0,0,0,0,0,0,0,
Assurant-VZW,0,0,0,0,0,0,0,0,0,0,0,
Atlanta Recycling Solutions _ Full Circle Electronics,16,0,0,0,0,0,0,16,0,16,16,
AXIS CompuTech,0,0,0,0,0,0,0,0,0,0,0,
Belmont Trading,4806,0,0,0,0,0,0,3,0,4782,4186,
Bluecity A_S,0,0,0,0,0,0,0,0,0,0,0,
Bohm Technologies,950,574,0,0,0,0,0,662,0,446,1060,
CDI _ TROX,0,0,0,0,0,0,0,0,0,0,0,
CDR Eco-Movement,0,0,0,0,0,0,0,0,0,0,0,
Cell Phone for Soldiers,483,0,0,0,0,0,0,291,0,483,503,
Centex,46129,0,0,0,0,0,0,415,0,0,0,
Cisco,0,0,0,0,0,0,0,0,0,0,0,
CleverTronic,5907,0,0,0,0,0,0,3043,0,5813,6481,
Computer Crusher,0,0,0,0,0,0,0,0,0,0,0,
Concord,0,9505,0,0,0,0,0,12754,0,9501,9523,
Cooper General,141,0,0,0,0,0,0,0,0,0,0,
Cos Phones,0,1158,0,0,0,0,0,0,0,0,1386,
Covercare,709,0,0,0,0,0,0,301,0,709,767,
CTDI Poland Sp. z.o.o.,0,0,0,0,0,0,0,0,0,0,0,
DBSchenker_DLS_Houston,0,0,0,0,0,0,0,0,0,0,0,
Devices Services Group,0,0,0,0,0,0,0,0,0,0,0,
DHL,14163,0,0,0,0,0,0,0,0,4221,13879,
Dis-Connect GMBH,0,0,0,0,0,0,0,0,0,0,0,
DRE Global,0,0,0,0,0,0,0,0,0,0,0,
E-Recycle,8,27,0,0,0,0,0,1,1,35,35,
EcoATM,20682,0,0,0,0,0,0,0,0,0,21239,
Encore Repair,12614,0,0,0,0,0,0,0,0,12486,1434,
Exodus Wireless,0,0,0,0,0,0,0,0,0,0,0,
FaceUP,774,0,0,0,0,0,0,773,0,771,0,
FD Europe Demo,0,0,0,0,0,0,0,0,0,0,0,
FedEx,20422,35762,0,0,0,0,0,2270,0,55016,55609,
Fonfix (Fonua Limited),0,0,0,0,0,0,0,0,0,0,0,
Foxconn,0,0,0,0,0,0,0,0,0,0,0,
Foxconn China,0,0,0,0,0,0,0,0,0,0,0,
Foxconn-Chihuahua,0,0,0,0,0,0,0,0,0,0,0,
Foxconn-Taipei,0,0,0,0,0,0,0,0,0,0,0,
Futuredial Taiwan,0,0,0,0,0,0,0,0,0,0,0,
Gizmogo,0,0,0,0,0,0,0,0,0,0,0,
Goldie Group,23562,19910,0,0,0,0,0,26700,0,24272,17848,
GreenMind,1930,1947,0,0,0,0,0,3831,0,2090,186,
Group O,0,0,0,0,0,0,0,0,0,0,0,
GXO,0,0,0,0,0,0,0,0,0,0,0,
Hamilton Logistics,0,0,0,0,0,0,0,0,0,0,1,
HangSengDevelopment,0,0,0,0,0,0,0,0,0,0,0,
Highpoint,0,0,0,0,0,0,0,0,0,0,0,
HOBI,80,0,0,0,0,0,0,81,0,79,0,
human-I-T,0,0,0,0,0,0,0,0,0,0,0,
ICE Mobility,283,0,0,0,0,0,0,0,0,282,292,
iGo Life Limited,16,0,0,0,0,0,0,16,0,16,16,
iHuigou,0,0,0,0,0,0,0,0,0,0,0,
Infinite Trading,0,0,0,0,0,0,0,0,0,0,0,
ISATECH,16,1,0,0,0,0,0,20,0,17,20,
iTochu Taiwan,1331,0,0,0,0,0,0,953,0,1314,0,
itochu_asia,162285,3497,0,0,0,0,0,79427,0,161718,70758,
JM Skytech,0,0,0,0,0,0,0,0,0,0,0,
"JNS, Inc.",0,0,0,0,0,0,0,0,0,0,0,
JY Tec,0,0,0,0,0,0,0,0,0,0,0,
Konami Digital Entertainment,0,0,0,0,0,0,0,0,0,0,0,
Lan Global,413,0,0,0,0,0,0,768,0,413,86,
MobilTech,3,0,0,0,0,0,0,0,0,0,0,
Movable Trade Network-AGENT_asia,2110,0,0,0,0,0,0,1644,0,1631,0,
Movable Trade Network_asia,3166,0,0,0,0,0,0,1,0,1100,874,
Mr Cellular,678,907,0,0,0,0,0,657,0,1562,661,
MXdiagnosis,0,0,0,0,0,0,0,0,0,0,0,
MXM DBS,0,0,0,0,0,0,0,0,0,0,0,
MXMiPG,0,0,0,0,0,0,0,0,0,0,0,
MXmobiling,1,31556,0,0,0,0,0,0,0,0,0,
MXnmq,0,0,0,0,0,0,0,0,0,0,0,
MySwooop,14,0,0,0,0,0,0,0,0,6,0,
Nordic Mobile Trust,0,0,0,0,0,0,0,0,0,0,0,
NorthStar,0,0,0,0,0,0,0,0,0,0,0,
OG Exclusives London LTD,1701,1672,0,0,0,0,0,0,0,1633,0,
Olympus International Limited,1370,0,0,0,0,0,0,375,0,1352,1691,
Ontronics,54068,0,0,0,0,0,0,0,0,30898,0,
Premier Logitech,13631,16925,0,0,0,0,0,1845,0,27208,17435,
PTS Electronics,0,0,0,0,0,0,0,0,0,0,0,
RadiVZW,0,0,0,0,0,0,0,0,0,0,0,
Reagan Wireless,10754,0,0,0,0,0,0,0,0,0,0,
Rebuy Poland,9328,0,0,0,0,0,0,0,0,9323,0,
reBuy reCommerce GmbH,7166,0,0,0,0,0,0,5754,0,5654,0,
Remarketed,0,0,0,0,0,0,0,0,0,0,0,
RobotTools,0,0,0,0,0,0,0,0,0,0,0,
SBE,0,16112,0,0,0,0,0,0,0,12938,124,
"Senao International Co., Ltd.",5168,0,0,0,0,0,0,5232,0,4971,1301,
Shine Electronics,48893,1991,76,0,0,0,0,2473,0,1990,0,
SIMS,0,0,0,0,0,0,0,0,0,0,0,
Smart Device Recyclers,0,0,0,0,0,0,0,0,0,0,0,
Smart Metals,8676,216,0,0,0,0,0,14079,0,8862,7082,
SPB UK & Ireland Ltd,16,0,0,0,0,0,0,0,0,16,0,
StoneGroup,14403,0,0,0,0,0,0,9709,0,0,9681,
SURANI SOLUTIONS INC. dba RE-LCD _ REVIVETECH,0,0,0,0,0,0,0,0,0,0,0,
Tech Cycle Solutions,0,0,0,0,0,0,0,0,0,0,0,
the wireless alliance,26890,0,0,0,0,0,0,15254,0,13596,0,
Tokyo Century Corporation,0,0,0,0,0,0,0,0,0,0,0,
TPC Group,10282,0,0,0,0,0,0,0,0,20,19,
TRG Solutions,0,10235,0,0,0,0,0,0,0,10235,0,
TWM,0,0,0,0,0,0,2014,0,0,0,0,
Verizon,61014,0,0,0,0,0,0,66100,46,59778,0,
Verizon Admin Console,0,0,0,0,0,0,0,0,0,0,0,
Verizon-Android,40548,27828,0,0,0,0,0,0,0,27204,27670,
Verizon-Carrier_Select,400,0,0,0,0,0,0,427,0,397,0,
Verizon-CRF,1065,0,0,0,0,0,0,1230,0,1049,0,
Verizon-DataV,0,0,0,0,0,0,0,0,0,0,0,
Verizon-DOD,4300,0,0,0,0,0,0,3873,0,3387,0,
Verizon-FastClear,3416,0,0,0,0,0,0,2786,0,3409,0,
Verizon-FGO,4249,42,0,0,0,0,0,0,1,4274,0,
Verizon-FGO_DataV,11289,0,0,0,0,0,0,0,0,11288,0,
Verizon-Lonestar,142329,0,0,0,0,0,0,62475,0,53499,0,
Verizon-Receiving,0,0,0,0,0,0,0,0,0,0,0,
Verizon-Restart,107232,539,0,0,0,0,0,80447,0,76944,22,
Verizon-Restart-DataV,0,0,0,0,0,0,0,0,0,0,0,
Verizon-Robot,0,0,0,0,0,0,0,0,0,0,0,
Vexwire,0,3050,0,0,0,0,0,0,0,2733,0,
Vienna Channels,138,0,0,0,0,0,0,0,0,70,0,
Vo-Net,10100,0,0,0,0,0,0,10254,0,10096,0,
WesternTech Systems,24421,29,0,0,0,0,0,20822,0,24426,1,
Xianghuanji,0,0,0,0,0,0,0,0,0,0,0,
