Company \ Product,GreenT,iRT,Athena,MobileQ,MobileQ_asia,MobileQ_iOS,SMI WPI Generic,FMI,Media Bundle,Battery, FuncTest
GreenMind,X,X,-,-,-,-,-,X,-,X,X
CTDI Poland Sp. z.o.o.,-,-,-,-,-,-,-,-,-,-,-
Verizon-FastClear,-,-,-,-,-,-,-,X,-,-,-
SBE,-,X,-,-,-,-,-,-,-,X,X
human-I-T,-,-,-,-,-,-,-,-,-,-,-
brightstar_BestBuy,1,1,1,1,1,1,1,1,1,1,1
Assurant-LWS-AND,-,-,-,-,-,-,-,-,-,-,-
E-Recycle,X,X,-,-,-,-,-,X,X,X,X
MXmobiling,X,X,-,-,-,-,-,-,-,-,-
GXO,-,-,-,-,-,-,-,-,-,-,-
Verizon-DOD,X,-,-,-,-,-,-,X,-,X,-
MET International,2,2,2,2,2,2,2,2,2,2,2
TWM,-,-,-,-,-,-,X,-,-,-,-
DHL,X,-,-,-,-,-,-,-,-,X,-
BrightStar-Sprint-Insurance,1,1,1,1,1,1,1,1,1,1,1
brightstar_APPLE,1,1,1,1,1,1,1,1,1,1,1
BrightStar-Sprint-National Retailers,1,1,1,1,1,1,1,1,1,1,1
Olympus International Limited,X,-,-,-,-,-,-,X,-,X,X
AKD International,-,-,-,-,-,-,-,-,-,-,-
Exodus Wireless,-,-,-,-,-,-,-,-,-,-,-
Company \ Product,2,2,2,2,2,2,2,2,2,2,2
Belmont Trading,X,-,-,-,-,-,-,X,-,X,X
Brightstar_Tracfone,1,1,1,1,1,1,1,1,1,1,1
MXMiPG,-,-,-,-,-,-,-,-,-,-,-
Asset Technology Solution Inc.,-,-,-,-,-,-,-,-,-,-,-
RobotTools,-,-,-,-,-,-,-,-,-,-,-
FaceUP,X,-,-,-,-,-,-,X,-,X,-
Brightstar-Quality,1,1,1,1,1,1,1,1,1,1,1
Brightstar_ECS,1,1,1,1,1,1,1,1,1,1,1
ISATECH,X,X,-,-,-,-,-,X,-,X,X
Futuredial Taiwan,-,-,-,-,-,-,-,-,-,-,-
Tokyo Century Corporation,-,-,-,-,-,-,-,-,-,-,-
Smart Metals,X,X,-,-,-,-,-,X,-,X,X
Brightstar_Glentel,1,1,1,1,1,1,1,1,1,1,1
OG Exclusives London LTD,X,X,-,-,-,-,-,-,-,X,-
Nekospex,1,1,1,1,1,1,1,1,1,1,1
Wistron_asia,1,1,1,1,1,1,1,1,1,1,1
Phoenix Cellular,1,1,1,1,1,1,1,1,1,1,1
Foxconn-Taipei,-,-,-,-,-,-,-,-,-,-,-
Assurant Australia,X,-,-,-,-,-,-,X,-,X,X
Dis-Connect GMBH,-,-,-,-,-,-,-,-,-,-,-
Cisco,-,-,-,-,-,-,-,-,-,-,-
Verizon-Robot,-,-,-,-,-,-,-,-,-,-,-
AgioTech,X,-,-,-,-,-,-,-,-,-,-
the wireless alliance,-,-,-,-,-,-,-,-,-,-,-
Brightstar-Exceptions,1,1,1,1,1,1,1,1,1,1,1
Ontronics,X,-,-,-,-,-,-,-,-,X,-
Verizon-Lonestar,-,-,-,-,-,-,-,X,-,X,-
CDI _ TROX,-,-,-,-,-,-,-,-,-,-,-
SIMS,-,-,-,-,-,-,-,-,-,-,-
Ara Global,-,-,-,-,-,-,-,-,-,-,-
FD Europe Demo,-,-,-,-,-,-,-,-,-,-,-
Reagan Wireless,X,-,-,-,-,-,-,-,-,-,-
Verizon-Receiving,-,-,-,-,-,-,-,-,-,-,-
Verizon-Restart-DataV,-,-,-,-,-,-,-,-,-,-,-
Verizon-Restart,X,X,-,-,-,-,-,X,-,X,X
Vo-Net,X,-,-,-,-,-,-,X,-,X,-
Computer Crusher,-,-,-,-,-,-,-,-,-,-,-
RadiVZW,-,-,-,-,-,-,-,-,-,-,-
"Senao International Co., Ltd.",-,-,-,-,-,-,-,-,-,-,X
Centex,X,-,-,-,-,-,-,X,-,-,-
Remarketed,-,-,-,-,-,-,-,-,-,-,-
Verizon-FGO,X,X,-,-,-,-,-,-,X,X,-
Aihuishou,-,-,-,-,-,-,-,-,-,-,-
Lan Global,X,-,-,-,-,-,-,X,-,X,X
Gizmogo,-,-,-,-,-,-,-,-,-,-,-
Mr Cellular,X,X,-,-,-,-,-,X,-,-,X
TPC Group,X,-,-,-,-,-,-,X,-,X,X
Verizon-Android,X,-,-,-,-,-,-,-,-,-,-
Assurant Japan,-,-,-,-,-,-,-,-,-,-,-
Fonfix (Fonua Limited),-,-,-,-,-,-,-,-,-,-,-
EcoATM,X,-,-,-,-,-,-,-,-,-,X
Vexwire,-,X,-,-,-,-,-,-,-,X,-
DRE Global,-,-,-,-,-,-,-,-,-,-,-
tangoe,1,1,1,1,1,1,1,1,1,1,1
Cell Phone for Soldiers,X,-,-,-,-,-,-,X,-,X,X
Cooper General,X,-,-,-,-,-,-,-,-,-,-
"JNS, Inc.",-,-,-,-,-,-,-,-,-,-,-
Nordic Mobile Trust,-,-,-,-,-,-,-,-,-,-,-
MXdiagnosis,-,-,-,-,-,-,-,-,-,-,-
Brightstar Norway,1,1,1,1,1,1,1,1,1,1,1
MobilTech,X,-,-,-,-,-,-,-,-,-,-
WesternTech Systems,-,X,-,-,-,-,-,-,-,-,X
Bluecity A_S,-,-,-,-,-,-,-,-,-,-,-
CleverTronic,X,-,-,-,-,-,-,-,-,X,X
Infinite Trading,2,2,2,2,2,2,2,2,2,2,2
nexlink,1,1,1,1,1,1,1,1,1,1,1
Atlanta Recycling Solutions _ Full Circle Electronics,X,-,-,-,-,-,-,X,-,X,X
Hamilton Logistics,-,-,-,-,-,-,-,-,-,-,X
itochu_asia,X,X,-,-,-,-,-,X,-,X,X
Bohm Technologies,X,X,-,-,-,-,-,X,-,X,X
SURANI SOLUTIONS INC. dba RE-LCD _ REVIVETECH,-,-,-,-,-,-,-,-,-,-,-
Valutech,1,1,1,1,1,1,1,1,1,1,1
Brightstar_Sprint-Reverse,1,1,1,1,1,1,1,1,1,1,1
Assurant-VZW,-,-,-,-,-,-,-,-,-,-,-
StoneGroup,X,-,-,-,-,-,-,X,-,-,X
DBSchenker_DLS_Houston,-,-,-,-,-,-,-,-,-,-,-
ICE Mobility,X,-,-,-,-,-,-,-,-,X,X
Brightstar_Forward,1,1,1,1,1,1,1,1,1,1,1
HangSengDevelopment,X,-,-,-,-,-,-,X,-,X,-
Verizon-CRF,X,-,-,-,-,-,-,X,-,X,-
assurant,X,-,-,-,-,-,-,X,-,X,-
Verizon-Carrier_Select,X,-,-,-,-,-,-,X,-,X,-
